game_id,drive,qtr,time,pass_attempts,pass_defenses,qb_hits,sacks,interceptions,expected_ints
2025_11_NYJ_NE,9.0,3.0,14:20,3,0,0,0,0,0.00946019235733854
2025_11_NYJ_NE,11.0,3.0,07:51,4,0,0,0,0,0.016035595410694176
2025_11_NYJ_NE,13.0,3.0,00:32,7,0,2,1,0,0.022750527519116763
2025_11_NYJ_NE,15.0,4.0,07:50,3,2,1,0,0,1.876190982940375
2025_11_NYJ_NE,17.0,4.0,06:42,2,1,0,0,0,0.8798676305529471
2025_12_NYJ_BAL,2.0,1.0,09:53,2,0,0,0,0,0.0045564402227750754
2025_12_NYJ_BAL,4.0,1.0,02:32,1,0,0,0,0,0.004926881767748439
2025_12_NYJ_BAL,6.0,2.0,11:26,4,0,1,1,0,0.007498727032157389
2025_12_NYJ_BAL,8.0,2.0,01:52,4,0,0,0,0,0.012868876200026653
2025_12_NYJ_BAL,10.0,2.0,00:23,1,1,0,0,0,0.9429109858016341
2025_12_NYJ_BAL,11.0,3.0,13:09,3,0,0,0,0,0.010831434217097086
2025_12_NYJ_BAL,13.0,3.0,03:39,3,1,0,0,0,0.9057610733300446
2025_12_NYJ_BAL,15.0,4.0,09:43,5,0,0,0,0,0.018466779675194528
2025_12_NYJ_BAL,17.0,4.0,04:13,1,0,0,0,0,0.0025573052995410852
2025_13_ATL_NYJ,3.0,1.0,03:44,6,1,1,1,0,0.8633839446156565
2025_13_ATL_NYJ,6.0,2.0,11:39,2,0,1,1,0,0.0026890519342462984
2025_13_ATL_NYJ,8.0,2.0,05:54,6,1,1,0,0,0.9847057883188135
2025_13_ATL_NYJ,10.0,2.0,00:29,3,0,0,0,0,0.007142417369203787
2025_13_ATL_NYJ,13.0,3.0,11:25,2,0,0,0,0,0.004571337334918546
2025_13_ATL_NYJ,15.0,3.0,05:34,4,1,2,0,0,0.9478244526820527
2025_13_ATL_NYJ,17.0,3.0,00:07,2,1,0,0,0,0.907367071209802
2025_13_ATL_NYJ,19.0,4.0,08:52,5,0,0,0,0,0.014029209539306552
2025_13_ATL_NYJ,21.0,4.0,01:39,2,1,1,0,0,0.8929994240622692
2025_13_ATL_NYJ,23.0,4.0,00:48,3,2,1,0,0,1.8633717308469429
2025_14_MIA_NYJ,1.0,1.0,12:50,1,0,1,0,0,0.0034422608763067077
2025_14_MIA_NYJ,3.0,1.0,09:35,3,0,0,0,0,0.008575930907902983
2025_14_MIA_NYJ,5.0,1.0,04:24,3,0,0,0,0,0.006216935529098645
2025_14_MIA_NYJ,7.0,1.0,00:46,2,1,1,0,0,0.9073854223376336
2025_14_MIA_NYJ,8.0,1.0,00:11,4,2,0,0,0,1.7656301644480887
2025_14_MIA_NYJ,10.0,2.0,10:40,2,0,1,1,0,0.0026851378073491196
2025_14_MIA_NYJ,14.0,2.0,00:21,1,0,0,0,0,0.00191880733755359
2025_14_MIA_NYJ,17.0,3.0,11:22,1,1,0,0,0,0.8695394190067676
2025_14_MIA_NYJ,19.0,3.0,02:51,4,2,0,0,0,1.7434976713306274
2025_14_MIA_NYJ,21.0,4.0,08:31,1,0,0,0,0,0.002357766413774213
2025_15_NYJ_JAX,1.0,1.0,10:22,6,0,0,0,0,0.012770720152043585
2025_15_NYJ_JAX,3.0,1.0,06:40,2,0,0,0,0,0.006159818559630067
2025_15_NYJ_JAX,5.0,1.0,01:00,2,0,0,0,0,0.007196256286360617
2025_15_NYJ_JAX,7.0,2.0,09:59,2,0,0,0,0,0.006295067201385582
2025_15_NYJ_JAX,9.0,2.0,01:46,6,0,1,0,0,0.023047270962413255
2025_15_NYJ_JAX,11.0,2.0,00:27,4,1,0,0,0,0.9337818690893751
2025_15_NYJ_JAX,14.0,3.0,07:06,5,0,0,0,0,0.014216829678534165
2025_15_NYJ_JAX,16.0,3.0,01:51,3,1,1,0,0,0.861922827241279
2025_15_NYJ_JAX,18.0,4.0,13:51,2,1,0,0,0,0.9415191764309451
2025_16_NYJ_NO,1.0,1.0,14:54,1,0,0,0,0,0.003741093912897714
2025_16_NYJ_NO,3.0,1.0,07:14,8,0,0,0,0,0.019574167590277657
2025_16_NYJ_NO,5.0,1.0,01:59,4,0,1,1,0,0.008638118140793134
2025_16_NYJ_NO,7.0,2.0,11:30,2,0,0,0,0,0.004575818771958418
2025_16_NYJ_NO,9.0,2.0,01:40,11,2,0,0,0,1.8861948375821873
2025_16_NYJ_NO,11.0,2.0,00:07,7,0,0,0,0,0.021013107021092887
2025_16_NYJ_NO,13.0,3.0,10:44,3,0,1,1,0,0.00858368553870568
2025_16_NYJ_NO,15.0,3.0,00:47,7,0,0,0,0,0.026361769962779016
2025_16_NYJ_NO,17.0,4.0,11:18,2,0,0,0,0,0.010578430390314485
2025_16_NYJ_NO,19.0,4.0,05:56,7,0,3,1,0,0.02521789380973089
2025_16_NYJ_NO,21.0,4.0,02:00,1,0,0,0,0,0.006905982858154583
2025_17_NE_NYJ,1.0,1.0,10:46,3,0,0,0,0,0.006683178719072862
2025_17_NE_NYJ,3.0,1.0,07:20,2,0,1,0,0,0.006818939756902324
2025_17_NE_NYJ,5.0,1.0,01:13,4,0,0,0,0,0.012038222637574612
2025_17_NE_NYJ,7.0,2.0,03:03,2,0,0,0,0,0.00683485904479436
2025_17_NE_NYJ,9.0,2.0,00:37,8,2,1,0,0,1.8199007101162235
2025_17_NE_NYJ,12.0,3.0,08:21,3,0,1,1,0,0.004651254755651294
2025_17_NE_NYJ,14.0,3.0,02:31,2,0,0,0,0,0.003970517328054457
2025_17_NE_NYJ,16.0,4.0,13:33,1,0,0,0,0,0.001991300247538096
2025_17_NE_NYJ,18.0,4.0,02:39,1,0,0,0,0,0.005384882875235318
2025_18_NYJ_BUF,1.0,1.0,08:22,3,0,0,0,0,0.008906947470302276
2025_18_NYJ_BUF,3.0,1.0,05:14,3,0,0,0,0,0.006433647647642012
2025_18_NYJ_BUF,5.0,1.0,00:20,9,0,0,0,0,0.022639015410606242
2025_18_NYJ_BUF,7.0,2.0,05:04,4,0,0,0,0,0.011245692764414183
2025_18_NYJ_BUF,11.0,3.0,07:46,7,2,0,0,0,1.7491290814316762
2025_18_NYJ_BUF,13.0,3.0,05:53,2,0,0,0,0,0.005814558710151751
2025_18_NYJ_BUF,15.0,4.0,12:05,2,0,0,0,0,0.0030219665964808817
2025_18_NYJ_BUF,17.0,4.0,04:32,1,0,0,0,0,0.002162568742491985
